file,Query,FragmentCount,serialiser,,parameterSet,runNr,serializeTiming(ms),deSerializeTiming(ms),outputBytes,Transfertime 1MB/s (ms)
/home/mmlab/serializations-test/queries-10,10,304,N-Triples_utf-8_gzipped,N-Triples (GZIP),2,4,45,55,234154,223.3066559
/home/mmlab/serializations-test/queries-10,10,304,RDF_THRIFT,RDF Thrift,1,4,45,60,1768762,1686.822891
/home/mmlab/serializations-test/queries-10,10,304,RDF_THRIFT_gzipped,RDF Thrift (GZIP),3,4,69,74,285152,271.9421387
/home/mmlab/serializations-test/queries-10,10,304,RDF_THRIFT_Value,RDF Thrift (Value),2,4,49,58,1751108,1669.986725
/home/mmlab/serializations-test/queries-10,10,304,RDF_THRIFT_Value_gzipped,"RDF Thrift (Value,GZIP)",4,4,69,74,281926,268.8655853
/home/mmlab/serializations-test/queries-10,10,304,SesameRIO_BINARY_1600,Sesame Binary (1600),5,4,21,29,1829289,1744.545937
/home/mmlab/serializations-test/queries-10,10,304,SesameRIO_BINARY_1600_gzipped,"Sesame Binary (1600,GZIP)",8,4,66,37,351020,334.7587585
/home/mmlab/serializations-test/queries-10,10,304,SesameRIO_BINARY_32000,Sesame Binary (32000),6,4,33,30,1829289,1744.545937
/home/mmlab/serializations-test/queries-10,10,304,SesameRIO_BINARY_32000_gzipped,"Sesame Binary (32000,GZIP)",9,4,76,42,350894,334.6385956
/home/mmlab/serializations-test/queries-10,10,304,SesameRIO_BINARY_800,Sesame Binary (800),4,4,16,29,1829289,1744.545937
/home/mmlab/serializations-test/queries-10,10,304,SesameRIO_BINARY_800_gzipped,Sesame Binary (800),7,4,46,39,351037,334.774971
/home/mmlab/serializations-test/queries-10,10,304,SesameRIO_TURTLE_0,Sesame Turtle,1,4,22,81,958601,914.1931534
/home/mmlab/serializations-test/queries-10,10,304,SesameRIO_TURTLE_0_gzipped,Sesame Turtle (GZIP),2,4,48,102,223647,213.2863998
/home/mmlab/serializations-test/queries-10,10,304,Turtle_blocks,Jena Turtle (Blocks),1,4,41,123,985803,940.1350021
/home/mmlab/serializations-test/queries-10,10,304,Turtle_blocks_gzipped,"Jena Turtle (Blocks,GZIP)",4,4,62,129,227248,216.7205811
/home/mmlab/serializations-test/queries-10,10,304,Turtle_flat,Jena Turtle (Flat),2,4,52,127,1548240,1476.516724
/home/mmlab/serializations-test/queries-10,10,304,Turtle_flat_gzipped,"Jena Turtle (Flat,GZIP)",5,4,16,175,224572,214.1685486
/home/mmlab/serializations-test/queries-10,10,304,Turtle_pretty,Jena Turtle (Pretty),3,4,51,120,1080921,1030.846596
/home/mmlab/serializations-test/queries-10,10,304,Turtle_pretty_gzipped,"Jena Turtle (Pretty,GZIP)",6,4,99,136,224308,213.9167786
/home/mmlab/serializations-test/queries-11,11,,"ERI_{disable_consistent_predicates=true, block_size=1024}",,4,1,7,8,27224,25.96282959
/home/mmlab/serializations-test/queries-11,11,,"ERI_{disable_consistent_predicates=true, block_size=1024}_gzip",,7,1,6,5,21301,20.31421661
/home/mmlab/serializations-test/queries-11,11,,"ERI_{disable_consistent_predicates=true, block_size=2048}",,5,1,11,7,27224,25.96282959
/home/mmlab/serializations-test/queries-11,11,,"ERI_{disable_consistent_predicates=true, block_size=2048}_gzip",,8,1,8,5,21301,20.31421661
/home/mmlab/serializations-test/queries-11,11,,"ERI_{disable_consistent_predicates=true, block_size=4096}",,6,1,9,5,27224,25.96282959
/home/mmlab/serializations-test/queries-11,11,,"ERI_{disable_consistent_predicates=true, block_size=4096}_gzip",,9,1,5,5,21301,20.31421661
/home/mmlab/serializations-test/queries-11,11,,N-Triples_utf-8,,1,1,2,6,198895,189.6810532
/home/mmlab/serializations-test/queries-11,11,,N-Triples_utf-8_gzipped,,2,1,9,6,26077,24.86896515
/home/mmlab/serializations-test/queries-11,11,,RDF_THRIFT,,1,1,8,7,192657,183.7320328
/home/mmlab/serializations-test/queries-11,11,,RDF_THRIFT_gzipped,,3,1,8,8,31947,30.46703339
